datetime_jst,period,category_id,category_name,item_code,rank,title
2026-07-02T13:05:25.268085+09:00,realtime,23558,レディーストートバッグ,ads005,6,ミニトートバッグ レディース 仕切り 小さめ ショルダー 自立 マチ 収納 お弁当 撥水 バック ミ...
2026-07-02T13:05:25.268085+09:00,daily,23591,レディースバッグインバッグ,ads003,1,バッグインバッグ 小さめ 自立 フェルト 監修 インナーバッグ バックインバック 底板 軽量 アンコ...
2026-07-02T13:05:25.268085+09:00,realtime,23591,レディースバッグインバッグ,ads002-m,2,バッグインバッグ リュック 縦型 自立 小さめ 整理収納アドバイザー監修 リュックインバッグ インナ...
2026-07-02T13:05:25.268085+09:00,daily,35462,レディースビジネスバッグ,ads001,1,ビジネスバッグ レディース A4 軽量 自立 リクルートバッグ 就活 面接 トートバッグ 通勤 通学...
2026-07-02T13:05:25.268085+09:00,daily,37190,レディースブラックフォーマルバッグ,ads082,5,フォーマルバッグ 黒 大きめ 葬式用バッグ 葬儀 葬式 軽い 大容量 冠婚葬祭 サブバッグ付 ペット...
2026-07-02T13:05:25.268085+09:00,daily,4352,マザーズバッグ,ads004,3,マザーズリュック 軽量 大容量 バッグ リュック マザーズバッグ バック ママ パパ ブランド 撥水...
2026-07-02T13:05:25.268085+09:00,daily,4352,マザーズバッグ,ads008-l,6,＼TVドラマ衣装提供商品／ マザーズバッグ トート 2WAY サイズ L マザーズバック 高見え シ...
2026-07-02T13:05:25.268085+09:00,daily,4352,マザーズバッグ,ads008-xl,7,マザーズバッグ トート 2WAY サイズ XL マザーズバック 高見え ショルダー 軽い 軽量 大容...
2026-07-02T13:05:25.268085+09:00,realtime,4352,マザーズバッグ,ads008-l,4,＼TVドラマ衣装提供商品／ マザーズバッグ トート 2WAY サイズ L マザーズバック 高見え シ...
2026-07-02T13:05:25.268085+09:00,daily,45462,お香、インセンス,ads066,3,お香 アロマ 白檀 沈香 金木犀 ホワイトセージ おしゃれ お試し オシャレ 横置き 対応 セット ...
2026-07-02T13:05:25.268085+09:00,realtime,45462,お香、インセンス,ads066,1,お香 アロマ 白檀 沈香 金木犀 ホワイトセージ おしゃれ お試し オシャレ 横置き 対応 セット ...
2026-07-02T13:05:25.268085+09:00,daily,48240,レディース名刺入れ,ads033,4,名刺入れ レディース 本革 メンズ 革 レザー ブランド 大容量 名刺ケース マグネット おしゃれ ...
2026-07-02T13:05:25.268085+09:00,realtime,50281,室外機カバー,ads065-1,6,＼選べる3タイプ／ 室外機カバー アルミ 業務用 エアコン 極厚 6層構造 大型 夏 節電 室外機 ...
2026-07-02T13:05:25.268085+09:00,realtime,609,生ごみ処理機,ads058-l,3,コンポスト バッグ Lサイズ おしゃれ 生ゴミ 大容量 不織布 コンポスト 容器 家庭用 生ゴミ処理...
2026-07-02T13:05:25.268085+09:00,realtime,609,生ごみ処理機,ads058,10,コンポスト バッグ おしゃれ 生ゴミ 不織布 コンポスト 容器 家庭用 生ゴミ処理機 説明書付 コン...
